[grapheme]aback	[celex]@-'b{k	[nettalk]xb@k-
[grapheme]abjure	[celex]@b-'_9R	[nettalk]@bJUr-
[grapheme]ablative	[celex]'{b-l@-tIv	[nettalk]@blxtxv-
[grapheme]ablaze	[celex]@-'bl1z	[nettalk]xblez-
[grapheme]able	[celex]'1-bP	[nettalk]ebL-
[grapheme]ablution	[celex]@-'blu-SH	[nettalk]@bluS-xn
[grapheme]abnegate	[celex]'{b-nI-g1t	[nettalk]@bnIget-
[grapheme]abnegation	"[celex]""{b-nI-'g1-SH"	[nettalk]@bnIgeS-xn
[grapheme]abnormal	[celex]{b-'n$-mP	[nettalk]@bncrm-L
[grapheme]abnormality	"[celex]""{b-n$-'m{-l@-tI"	[nettalk]@bncrm@lxti
[grapheme]abnormally	[celex]{b-'n$-m@-lI	[nettalk]@bncrmxl-i
[grapheme]aboard	[celex]@-'b$d	[nettalk]xbo-rd
[grapheme]abode	[celex]@-'b5d	[nettalk]xbod-
[grapheme]abolish	[celex]@-'bQ-lIS	[nettalk]xbalIS-
[grapheme]abolition	"[celex]""{-b5-'lI-SH"	[nettalk]@bxlIS-xn
[grapheme]abolitionist	"[celex]""{-b5-'lI-S@-nIst"	[nettalk]@bxlIS-xnxst
[grapheme]abominable	[celex]@-'bQ-mI-n@-bP	[nettalk]xbamxnxbL-
[grapheme]abominate	[celex]@-'bQ-mI-n1t	[nettalk]xbamxnet-
[grapheme]aboriginal	"[celex]""{-b@-'rI-_@-nP"	[nettalk]@bxrIJxn-L
[grapheme]aborigine	"[celex]""{-b@-'rI-_@-nI"	[nettalk]@bxrIJxni
[grapheme]abortion	[celex]@-'b$-SH	[nettalk]xbcrS-xn
[grapheme]abound	[celex]@-'b6nd	[nettalk]xbW-nd
[grapheme]about	[celex]@-'b6t	[nettalk]xbW-t
[grapheme]above	[celex]@-'bVv	[nettalk]xb^v-
[grapheme]abracadabra	"[celex]""{-br@-k@-'d{-br@"	[nettalk]@brxkxd@brx
[grapheme]abrade	[celex]@-'br1d	[nettalk]xbred-
[grapheme]abrasive	[celex]@-'br1-sIv	[nettalk]xbresIv-
[grapheme]abreast	[celex]@-'brEst	[nettalk]xbrE-st
[grapheme]abridge	[celex]@-'brI_	[nettalk]xbrI-J-
[grapheme]abroad	[celex]@-'br$d	[nettalk]xbrc-d
[grapheme]abrogate	[celex]'{-br5-g1t	[nettalk]@brxget-
[grapheme]abrogation	"[celex]""{-br5-'g1-SH"	[nettalk]@brxgeS-xn
[grapheme]abrupt	[celex]@-'brVpt	[nettalk]xbr^pt
[grapheme]abscess	[celex]'{b-sIs	[nettalk]@bs-Es-
[grapheme]absence	[celex]'{b-s@ns	[nettalk]@bsxns-
[grapheme]absent	[celex]{b-'sEnt	[nettalk]@bsEnt
[grapheme]absentee	"[celex]""{b-s@n-'ti"	[nettalk]@bsxnti-
[grapheme]absolute	[celex]'{b-s@-lut	[nettalk]@bsxlut-
[grapheme]absolutely	[celex]'{b-s@-lut-lI	[nettalk]@bsxlut-li
[grapheme]absolution	"[celex]""{b-s@-'lu-SH"	[nettalk]@bsxluS-xn
[grapheme]absolutism	[celex]'{b-s@-lu-tI-z@m	[nettalk]@bsxlutIzM
[grapheme]absolve	[celex]@b-'zQlv	[nettalk]xbsalv-
[grapheme]absorb	[celex]@b-'s$b	[nettalk]xbscrb
[grapheme]abstain	[celex]@b-'st1n	[nettalk]xbste-n
[grapheme]abstemious	[celex]{b-'sti-mj@s	[nettalk]@bstimix-s
[grapheme]abstinence	[celex]'{b-stI-n@ns	[nettalk]@bstxnxns-
[grapheme]abstract	[celex]'{b-str{kt	[nettalk]@bstr@kt
[grapheme]abstraction	[celex]{b-'str{k-SH	[nettalk]@bstr@kS-xn
[grapheme]abstracts	[celex]'{b-str{kts	[nettalk]@bstr@kts
[grapheme]abstruse	[celex]{b-'strus	[nettalk]xbstrus-
[grapheme]absurd	[celex]@b-'s3d	[nettalk]xbs-Rd
[grapheme]abundant	[celex]@-'bVn-d@nt	[nettalk]xb^ndxnt
[grapheme]abuse	[celex]@-'bjuz	[nettalk]xbYz-
[grapheme]abysmal	[celex]@-'bIz-mP	[nettalk]xbIzm-L
[grapheme]abyss	[celex]@-'bIs	[nettalk]xbIs-
[grapheme]acacia	[celex]@-'k1-S@	[nettalk]xkeSx-
[grapheme]academic	"[celex]""{-k@-'dE-mIk"	[nettalk]@kxdEmIk
[grapheme]academician	"[celex]@-""k{-d@-'mI-SH"	[nettalk]@kxdxmIS-xn
[grapheme]academy	[celex]@-'k{-d@-mI	[nettalk]xk@dxmi
[grapheme]accede	[celex]{k-'sid	[nettalk]@ksid-
[grapheme]accelerando	"[celex]{k-""sE-l@-'r{n-d5"	[nettalk]aC-Elxrando
[grapheme]accelerate	[celex]@k-'sE-l@-r1t	[nettalk]IksElxret-
[grapheme]accent	[celex]{k-'sEnt	[nettalk]@ksEnt
[grapheme]accentuate	[celex]{k-'sEn-tjU-1t	[nettalk]@ksEnCuet-
[grapheme]accept	[celex]@k-'sEpt	[nettalk]IksEpt
[grapheme]acceptance	[celex]@k-'sEp-t@ns	[nettalk]IksEptxns-
[grapheme]acceptation	"[celex]""{k-sEp-'t1-SH"	[nettalk]@ksEpteS-xn
[grapheme]access	[celex]'{k-sEs	[nettalk]@ksxs-
[grapheme]accessible	[celex]@k-'sE-s@-bP	[nettalk]IksEs-xbL-
[grapheme]accession	[celex]{k-'sE-SH	[nettalk]IksES--xn
[grapheme]accessory	[celex]@k-'sE-s@-rI	[nettalk]IksEs-xri
[grapheme]accidence	[celex]'{k-sI-d@ns	[nettalk]@ksxdxns-
[grapheme]accident	[celex]'{k-sI-d@nt	[nettalk]@ksxdxnt
[grapheme]accidental	"[celex]""{k-sI-'dEn-tP"	[nettalk]@ksxdEnt-L
[grapheme]acclaim	[celex]@-'kl1m	[nettalk]xk-le-m
[grapheme]acclamation	"[celex]""{-kl@-'m1-SH"	[nettalk]@k-lxmeS-xn
[grapheme]acclimate	[celex]'{-klI-m1t	[nettalk]xk-lAmxt-
[grapheme]acclimatize	[celex]@-'kl2-m@-t2z	[nettalk]xk-lAmxtAz-
[grapheme]acclivity	[celex]@-'klI-v@-tI	[nettalk]xk-lIvxti
[grapheme]accolade	[celex]'{-k5-l1d	[nettalk]@k-xled-
[grapheme]accommodate	[celex]@-'kQ-m@-d1t	[nettalk]xk-am-xdet-
[grapheme]accommodation	"[celex]@-""kQ-m@-'d1-SH"	[nettalk]xk-am-xdeS-xn
[grapheme]accompaniment	[celex]@-'kVm-p@-nI-m@nt	[nettalk]xk-xmpxnimxnt
[grapheme]accomplice	[celex]@-'kVm-plIs	[nettalk]xk-amplxs-
[grapheme]accomplish	[celex]@-'kVm-plIS	[nettalk]xk-amplIS-
[grapheme]accord	[celex]@-'k$d	[nettalk]xk-crd
[grapheme]accordance	[celex]@-'k$-d@ns	[nettalk]xk-crd-Ns-
[grapheme]accordion	[celex]@-'k$-dj@n	[nettalk]xk-crdixn
[grapheme]accost	[celex]@-'kQst	[nettalk]xk-cst
[grapheme]account	[celex]@-'k6nt	[nettalk]xk-W-nt
[grapheme]accountant	[celex]@-'k6n-t@nt	[nettalk]xk-W-nt-Nt
[grapheme]accredit	[celex]@-'krE-dIt	[nettalk]xk-rEdxt
[grapheme]accretion	[celex]{-'kri-SH	[nettalk]xk-riS-xn
[grapheme]accrue	[celex]@-'kru	[nettalk]xk-ru-
[grapheme]accumulate	[celex]@-'kju-mjU-l1t	[nettalk]xk-YmYlet-
[grapheme]accuracy	[celex]'{-kjU-r@-sI	[nettalk]@k-yrxsi
[grapheme]accurate	[celex]'{-kjU-r@t	[nettalk]@k-yrxt-
[grapheme]accursed	[celex]@-'k3-sId	[nettalk]xk--Rsxd
[grapheme]accusation	"[celex]""{-kju-'z1-SH"	[nettalk]@k-YzeS-xn
[grapheme]accusative	[celex]@-'kju-z@-tIv	[nettalk]xk-YzxtIv-
[grapheme]accuse	[celex]@-'kjuz	[nettalk]xk-Yz-
[grapheme]accuser	[celex]@-'kju-z@R	[nettalk]xk-Yz-R
[grapheme]accustom	[celex]@-'kV-st@m	[nettalk]xk-xstxm
[grapheme]ace	[celex]'1s	[nettalk]es-
[grapheme]acerbity	[celex]@-'s3-b@-tI	[nettalk]xs-Rbxti
[grapheme]acetate	[celex]'{-sI-t1t	[nettalk]@sxtet-
[grapheme]acetic	[celex]@-'si-tIk	[nettalk]xsitIk
[grapheme]acetylene	[celex]@-'sE-tI-lin	[nettalk]xsEt-Lin-
[grapheme]ache	[celex]'1k	[nettalk]ek--
[grapheme]achieve	[celex]@-'Jiv	[nettalk]xC-i-v-
[grapheme]acid	[celex]'{-sId	[nettalk]@sxd
[grapheme]acidic	[celex]@-'sI-dIk	[nettalk]xsIdIk
[grapheme]acidity	[celex]@-'sI-d@-tI	[nettalk]xsIdxti
[grapheme]acidulous	[celex]@-'sI-djU-l@s	[nettalk]xsIJxlx-s
[grapheme]acknowledge	[celex]@k-'nQ-lI_	[nettalk]Ik-na-lI-J-
[grapheme]acme	[celex]'{k-mI	[nettalk]@kmi
[grapheme]acne	[celex]'{k-nI	[nettalk]@kni
[grapheme]acolyte	[celex]'{-k5-l2t	[nettalk]@kxlAt-
[grapheme]aconite	[celex]'{-k@-n2t	[nettalk]@kxnAt-
[grapheme]acorn	[celex]'1-k$n	[nettalk]ekcrn
[grapheme]acoustic	[celex]@-'ku-stIk	[nettalk]xku-stIk
[grapheme]acquiesce	"[celex]""{-kwI-'Es"	[nettalk]@k-wiEs--
[grapheme]acquire	[celex]@-'kw2-@R	[nettalk]xk-wAr-
[grapheme]acquisition	"[celex]""{-kwI-'zI-SH"	[nettalk]@k-wIzIS-xn
[grapheme]acquisitive	[celex]@-'kwI-zI-tIv	[nettalk]xk-wIzxtIv-
[grapheme]acquit	[celex]@-'kwIt	[nettalk]xk-wIt
[grapheme]acre	[celex]'1-k@R	[nettalk]ekR-
[grapheme]acreage	[celex]'1-k@-rI_	[nettalk]ekrI-J-
[grapheme]acrid	[celex]'{-krId	[nettalk]@krxd
[grapheme]acrimonious	"[celex]""{-krI-'m5-nj@s"	[nettalk]@krxmonix-s
[grapheme]acrimony	[celex]'{-krI-m@-nI	[nettalk]@krxmoni
[grapheme]acrobat	[celex]'{-kr@-b{t	[nettalk]@krxb@t
[grapheme]acrobatic	"[celex]""{-kr5-'b{-tIk"	[nettalk]@krxb@tIk
[grapheme]acrobatics	"[celex]""{-kr5-'b{-tIks"	[nettalk]@krxb@tIks
[grapheme]acronym	[celex]'{-kr5-nIm	[nettalk]@krxnIm
[grapheme]acropolis	[celex]@-'krQ-p@-lIs	[nettalk]xkrapxlxs
[grapheme]across	[celex]@-'krQs	[nettalk]xkrcs-
[grapheme]acrostic	[celex]@-'krQ-stIk	[nettalk]xkrcstIk
[grapheme]act	[celex]'{kt	[nettalk]@kt
[grapheme]actinic	[celex]{k-'ti-nIk	[nettalk]@ktInIk
[grapheme]action	[celex]'{k-SH	[nettalk]@kS-xn
[grapheme]activate	[celex]'{k-tI-v1t	[nettalk]@ktxvet-
[grapheme]active	[celex]'{k-tIv	[nettalk]@ktIv-
[grapheme]activity	[celex]{k-'tI-v@-tI	[nettalk]@ktIvxti
[grapheme]actor	[celex]'{k-t@R	[nettalk]@kt-R
[grapheme]actual	[celex]'{k-J9l	[nettalk]@kCYxl
[grapheme]actuality	"[celex]""{k-JU-'{-l@-tI"	[nettalk]@kCY@lxti
[grapheme]actually	[celex]'{k-J9-lI	[nettalk]@kCYxl-i
[grapheme]actuarial	"[celex]""{k-tjU-'8-r7l"	[nettalk]@kCuEri-L
[grapheme]actuary	[celex]'{k-tj9-rI	[nettalk]@kCuEri
[grapheme]actuate	[celex]'{k-tjU-1t	[nettalk]@kCuet-
[grapheme]acuity	[celex]@-'kju-@-tI	[nettalk]xkYxti
[grapheme]acumen	[celex]'{-kjU-m@n	[nettalk]xkYmxn
[grapheme]acute	[celex]@-'kjut	[nettalk]xkYt-
[grapheme]ad	[celex]'{d	[nettalk]@d
[grapheme]adage	[celex]'{-dI_	[nettalk]@dIJ-
[grapheme]adagio	[celex]@-'d#-_I-5	[nettalk]xdaJ-o
[grapheme]adamant	[celex]'{-d@-m@nt	[nettalk]@dxmxnt
[grapheme]adamantine	"[celex]""{-d@-'m{n-t2n"	[nettalk]@dxm@ntin-
[grapheme]adapt	[celex]@-'d{pt	[nettalk]xd@pt
[grapheme]adaptability	"[celex]@-""d{p-t@-'bI-l@-tI"	[nettalk]xd@ptxbIlxti
[grapheme]adaptation	"[celex]""{-d{p-'t1-SH"	[nettalk]@d@pteS-xn
[grapheme]add	[celex]'{d	[nettalk]@d-
[grapheme]addendum	[celex]@-'dEn-d@m	[nettalk]xd-Endxm
[grapheme]adder	[celex]'{-d@R	[nettalk]@d--R
[grapheme]addict	[celex]@-'dIkt	[nettalk]xd-Ikt
[grapheme]addiction	[celex]@-'dIk-SH	[nettalk]xd-IkS-xn
[grapheme]addition	[celex]@-'dI-SH	[nettalk]xd-IS-xn
[grapheme]additional	[celex]@-'dI-S@-nP	[nettalk]xd-IS-xn-L
[grapheme]additive	[celex]'{-dI-tIv	[nettalk]@d-xtIv-
[grapheme]addle	[celex]'{-dP	[nettalk]@d-L-
[grapheme]address	[celex]@-'drEs	[nettalk]xd-rEs-
[grapheme]addressee	"[celex]""{-drE-'si"	[nettalk]@d-rEs-i-
[grapheme]adduce	[celex]@-'djus	[nettalk]xd-Ys-
[grapheme]adept	[celex]'{-dEpt	[nettalk]xdEpt
[grapheme]adequate	[celex]'{-dI-kw@t	[nettalk]@dIkwxt-
[grapheme]adhere	[celex]@d-'h7R	[nettalk]@dhIr-
[grapheme]adhesion	[celex]@d-'hi-ZH	[nettalk]@dhiZ-xn
[grapheme]adieu	[celex]@-'dju	[nettalk]xdY--
[grapheme]adipose	[celex]'{-dI-p5s	[nettalk]@dxpos-
[grapheme]adjacent	[celex]@-'_1-s@nt	[nettalk]x-Jes-Nt
[grapheme]adjectival	"[celex]""{-_Ek-'t2-vP"	[nettalk]@-JIktAv-L
[grapheme]adjective	[celex]'{-_Ik-tIv	[nettalk]@-JIktIv-
[grapheme]adjoin	[celex]@-'_4n	[nettalk]x-JO-n
[grapheme]adjourn	[celex]@-'_3n	[nettalk]x-J--Rn
[grapheme]adjudge	[celex]@-'_V_	[nettalk]x-J^-J-
[grapheme]adjudicate	[celex]@-'_u-dI-k1t	[nettalk]x-JudIket-
[grapheme]adjudication	"[celex]@-""_u-dI-'k1-SH"	[nettalk]x-JudIkeS-xn
[grapheme]adjunct	[celex]'{-_VNkt	[nettalk]@-JxGkt
[grapheme]adjuration	"[celex]""{-_9-'r1-SH"	[nettalk]@-JxreS-xn
[grapheme]adjure	[celex]@-'_9R	[nettalk]x-Jur-
[grapheme]adjust	[celex]@-'_Vst	[nettalk]x-J^st
[grapheme]adjutant	[celex]'{-_U-t@nt	[nettalk]@-Jxtxnt
[grapheme]adman	[celex]'{d-m{n	[nettalk]@dm@n
[grapheme]administer	[celex]@d-'mI-nI-st@R	[nettalk]xdmInxst-R
[grapheme]administrative	[celex]@d-'mI-nI-str@-tIv	[nettalk]xdmInxstretIv-
[grapheme]administrator	[celex]@d-'mI-nI-str1-t@R	[nettalk]xdmInxstret-R
[grapheme]admirable	[celex]'{d-m@-r@-bP	[nettalk]@dmxrxbL-
[grapheme]admiral	[celex]'{d-m@-r@l	[nettalk]@dmxr-L
[grapheme]admiration	"[celex]""{d-m@-'r1-SH"	[nettalk]@dmxreS-xn
[grapheme]admire	[celex]@d-'m2-@R	[nettalk]xdmAr-
[grapheme]admirer	[celex]@d-'m2-@-r@R	[nettalk]xdmAr-R
[grapheme]admissible	[celex]@d-'mI-s@-bP	[nettalk]xdmIs-xbL-
[grapheme]admission	[celex]@d-'mI-SH	[nettalk]xdmIS--xn
[grapheme]admit	[celex]@d-'mIt	[nettalk]xdmIt
[grapheme]admittance	[celex]@d-'mI-t@ns	[nettalk]xdmIt--Ns-
[grapheme]admix	[celex]{d-'mIks	[nettalk]@dmIX
[grapheme]admixture	[celex]{d-'mIks-J@R	[nettalk]@dmIXC-R-
[grapheme]admonish	[celex]@d-'mQ-nIS	[nettalk]@dmanIS-
[grapheme]admonition	"[celex]""{d-m5-'nI-SH"	[nettalk]@dmxnIS-xn
[grapheme]admonitory	[celex]@d-'mQ-nI-t@-rI	[nettalk]@dmanxtori
[grapheme]ado	[celex]@-'du	[nettalk]xdu
[grapheme]adobe	[celex]@-'d5-bI	[nettalk]xdobi
[grapheme]adolescence	"[celex]""{-d5-'lE-sHs"	[nettalk]@d-LEs--Ns-
[grapheme]adopt	[celex]@-'dQpt	[nettalk]xdapt
[grapheme]adoptive	[celex]@-'dQp-tIv	[nettalk]xdaptIv-
[grapheme]adorable	[celex]@-'d$-r@-bP	[nettalk]xdorxbL-
[grapheme]adoration	"[celex]""{-d@-'r1-SH"	[nettalk]@dxreS-xn
[grapheme]adore	[celex]@-'d$R	[nettalk]xdor-
[grapheme]adorn	[celex]@-'d$n	[nettalk]xdcrn
[grapheme]adrenal	[celex]@-'dri-nP	[nettalk]xdrin-L
[grapheme]adrift	[celex]@-'drIft	[nettalk]xdrIft
[grapheme]adroit	[celex]@-'dr4t	[nettalk]xdrO-t
[grapheme]adulation	"[celex]""{-djU-'l1-SH"	[nettalk]@JxleS-xn
[grapheme]adult	[celex]'{-dVlt	[nettalk]xd^lt
[grapheme]adulterant	[celex]@-'dVl-t@-r@nt	[nettalk]xd^ltxrxnt
[grapheme]adulterate	[celex]@-'dVl-t@-r1t	[nettalk]xd^ltxret-
[grapheme]adultery	[celex]@-'dVl-t@-rI	[nettalk]xd^ltxri
[grapheme]adulthood	[celex]'{-dVlt-hUd	[nettalk]xd^lthU-d
[grapheme]adumbrate	[celex]'{-dVm-br1t	[nettalk]@dxmbret-
[grapheme]adumbration	"[celex]""{-dVm-'br1-SH"	[nettalk]@dxmbreS-xn
[grapheme]advance	[celex]@d-'v#ns	[nettalk]xdv@ns-
[grapheme]advantage	[celex]@d-'v#n-tI_	[nettalk]xdv@ntIJ-
[grapheme]advantageous	"[celex]""{d-v@n-'t1-_@s"	[nettalk]@dv@nteJx--s
[grapheme]advent	[celex]'{d-v@nt	[nettalk]@dvEnt
[grapheme]adventitious	"[celex]""{d-vEn-'tI-S@s"	[nettalk]@dvxntIS-x-s
[grapheme]adventure	[celex]@d-'vEn-J@R	[nettalk]xdvEnC-R-
[grapheme]adverb	[celex]'{d-v3b	[nettalk]@dv-Rb
[grapheme]adverbial	[celex]@d-'v3-bj@l	[nettalk]@dv-Rbi-L
[grapheme]adversary	[celex]'{d-v@-s@-rI	[nettalk]@dv-RsEri
[grapheme]adverse	[celex]'{d-v3s	[nettalk]@dv-Rs-
[grapheme]adversity	[celex]@d-'v3-s@-tI	[nettalk]@dv-Rsxti
[grapheme]advert	[celex]'{d-v3t	[nettalk]@dv-Rt
[grapheme]advertise	[celex]'{d-v@-t2z	[nettalk]@dv-RtAz-
[grapheme]advertisement	[celex]@d-'v3-tIs-m@nt	[nettalk]@dv-RtAz-mxnt
[grapheme]advertising	[celex]'{d-v@-t2-sIN	[nettalk]@dv-RtAzIG-
[grapheme]advice	[celex]@d-'v2s	[nettalk]xdvAs-
[grapheme]advisable	[celex]@d-'v2-z@-bP	[nettalk]xdvAzxbL-
[grapheme]advise	[celex]@d-'v2z	[nettalk]xdvAz-
[grapheme]advisory	[celex]@d-'v2-z@-rI	[nettalk]xdvAzxri
[grapheme]advocate	[celex]'{d-v@-k1t	[nettalk]@dvxkxt-
[grapheme]adze	[celex]'{dz	[nettalk]@dz-
[grapheme]aegis	[celex]'i-_Is	[nettalk]-iJxs
[grapheme]aeon	[celex]'i-@n	[nettalk]-ixn
[grapheme]aerate	[celex]'1-@-r1t	[nettalk]@-Ret-
[grapheme]aeration	[celex]1-@-'r1-SH	[nettalk]@-ReS-xn
[grapheme]aerial	[celex]'8-r7l	[nettalk]E-ri-L
[grapheme]aerodrome	[celex]'8-r@-dr5m	[nettalk]E-rxdrom-
[grapheme]aeronaut	[celex]'8-r@-n$t	[nettalk]E-rxnc-t
[grapheme]aeronautics	"[celex]""8-r@-'n$-tIks"	[nettalk]E-rxnc-tIks
[grapheme]aeroplane	[celex]'8-r@-pl1n	[nettalk]E-rxplen-
[grapheme]aerosol	[celex]'8-r5-sQl	[nettalk]E-rxscl
[grapheme]aerospace	[celex]'8-r5-sp1s	[nettalk]E-rxspes-
[grapheme]aesthete	[celex]'is-Tit	[nettalk]E-sT-it-
[grapheme]aesthetic	[celex]is-'TE-tIk	[nettalk]E-sT-EtIk
[grapheme]afar	[celex]@-'f#R	[nettalk]xfar
[grapheme]affability	"[celex]""{-f@-'bI-l@-tI"	[nettalk]@f-xbIlxti
[grapheme]affable	[celex]'{-f@-bP	[nettalk]@f-xbL-
[grapheme]affably	[celex]'{-f@-blI	[nettalk]@f-xbli
[grapheme]affair	[celex]@-'f8R	[nettalk]xf-@-r
[grapheme]affect	[celex]@-'fEkt	[nettalk]xf-Ekt
[grapheme]affectation	"[celex]""{-fEk-'t1-SH"	[nettalk]@f-EkteS-xn
[grapheme]affection	[celex]@-'fEk-SH	[nettalk]xf-EkS-xn
[grapheme]affiance	[celex]@-'f2-@ns	[nettalk]xf-Axns-
[grapheme]affidavit	"[celex]""{-fI-'d1-vIt"	[nettalk]@f-xdevxt
[grapheme]affiliate	[celex]@-'fI-lI-1t	[nettalk]xf-Iliet-
[grapheme]affinity	[celex]@-'fI-n@-tI	[nettalk]xf-Inxti
[grapheme]affirm	[celex]@-'f3m	[nettalk]xf--Rm
[grapheme]affirmation	"[celex]""{-f@-'m1-SH"	[nettalk]@f--RmeS-xn
[grapheme]affirmative	[celex]@-'f3-m@-tIv	[nettalk]xf--RmxtIv-
[grapheme]affix	[celex]@-'fIks	[nettalk]xf-IX
[grapheme]afflatus	[celex]@-'fl1-t@s	[nettalk]xf-letxs
[grapheme]afflict	[celex]@-'flIkt	[nettalk]xf-lIkt
[grapheme]affluence	[celex]'{-fl9ns	[nettalk]@f-luxns-
[grapheme]afford	[celex]@-'f$d	[nettalk]xf-ord
[grapheme]affray	[celex]@-'fr1	[nettalk]xf-re-
[grapheme]affront	[celex]@-'frVnt	[nettalk]xf-r^nt
[grapheme]aficionado	"[celex]@-""fI-sj@-'n#-d5"	[nettalk]xfIsixnado
[grapheme]afield	[celex]@-'fild	[nettalk]xfi-ld
[grapheme]afire	[celex]@-'f2-@R	[nettalk]xfAr-
[grapheme]aflame	[celex]@-'fl1m	[nettalk]xflem-
[grapheme]afloat	[celex]@-'fl5t	[nettalk]xflo-t
[grapheme]afoot	[celex]@-'fUt	[nettalk]xfU-t
[grapheme]aforementioned	"[celex]@-""f$-'mEn-S@nd"	[nettalk]xfor-mEnC-xn-d
[grapheme]aforesaid	[celex]@-'f$-sEd	[nettalk]xfor-sE-d
[grapheme]afoul	[celex]@-'f6l	[nettalk]xfW-l
[grapheme]afraid	[celex]@-'fr1d	[nettalk]xfre-d
[grapheme]afresh	[celex]@-'frES	[nettalk]xfrES-
[grapheme]aft	[celex]'#ft	[nettalk]@ft
[grapheme]after	[celex]'#f-t@R	[nettalk]@ft-R
[grapheme]afterbirth	[celex]'#f-t@-b3T	[nettalk]@ft-Rb-RT-
[grapheme]aftermath	[celex]'#f-t@-m{T	[nettalk]@ft-Rm@T-
[grapheme]afternoon	[celex]'#f-t@-nun	[nettalk]@ft-Rnu-n
[grapheme]afterthought	[celex]'#f-t@-T$t	[nettalk]@ft-RT-c---t
[grapheme]afterward	[celex]'#f-t@-w@d	[nettalk]@ft-Rw-Rd
[grapheme]again	[celex]@-'gEn	[nettalk]xgE-n
[grapheme]against	[celex]@-'gEnst	[nettalk]xgE-nst
[grapheme]agape	[celex]@-'g1p	[nettalk]xgep-
[grapheme]agate	[celex]'{-g@t	[nettalk]@gxt-
[grapheme]agave	[celex]@-'g1-vI	[nettalk]xgavi
[grapheme]age	[celex]'1_	[nettalk]eJ-
[grapheme]ageless	[celex]'1_-lIs	[nettalk]eJ-lxs-
[grapheme]agency	[celex]'1-_@n-sI	[nettalk]eJxnsi
[grapheme]agenda	[celex]@-'_En-d@	[nettalk]xJEndx
[grapheme]agent	[celex]'1-_@nt	[nettalk]eJxnt
[grapheme]agglomerate	[celex]@-'glQ-m@-r1t	[nettalk]xg-lamxret-
[grapheme]agglutinate	[celex]@-'glu-tI-n1t	[nettalk]xg-lut-Net-
[grapheme]aggrandize	[celex]@-'gr{n-d2z	[nettalk]xg-r@ndAz-
[grapheme]aggrandizement	[celex]@-'gr{n-dIz-m@nt	[nettalk]xg-r@ndxz-mxnt
[grapheme]aggravate	[celex]'{-gr@-v1t	[nettalk]@g-rxvet-
[grapheme]aggravation	"[celex]""{-gr@-'v1-SH"	[nettalk]@g-rxveS-xn
[grapheme]aggregate	[celex]'{-grI-g1t	[nettalk]@g-rIgxt-
[grapheme]aggregation	"[celex]""{-grI-'g1-SH"	[nettalk]@g-rIgeS-xn
[grapheme]aggression	[celex]@-'grE-SH	[nettalk]xg-rES--xn
[grapheme]aggrieve	[celex]@-'griv	[nettalk]xg-ri-v-
[grapheme]aghast	[celex]@-'g#st	[nettalk]xg-@st
[grapheme]agile	[celex]'{-_2l	[nettalk]@J-L-
[grapheme]agility	[celex]@-'_I-l@-tI	[nettalk]xJIlxti
