a b o l i t i o n i s t	""" { b 5 ' l I S @ n I s t"	@2 b x0 l I1 S x n x0 s t
a b o m i n a b l e	@ ' b Q m I n @ b P	x0 b a1 m x0 n x0 b L
a b o m i n a t e	@ ' b Q m I n 1 t	x0 b a1 m x0 n e2 t
a b o r i g i n a l	""" { b @ ' r I _ @ n P"	@2 b x0 r I1 J x0 n L
a b o r i g i n e	""" { b @ ' r I _ @ n I"	@2 b x0 r I1 J x0 n i0
a b o r i g i n e	""" { b @ ' r I _ I n I"	@2 b x0 r I1 J x0 n i0
a b o r t i o n	@ ' b $ S H	x0 b c1 r S x n
a b o u n d	@ ' b 6 n d	x0 b W1 n d
a b o u t	@ ' b 6 t	x0 b W1 t
a b o v e	@ ' b V v	x0 b ^1 v
a b r a d e	@ ' b r 1 d	x0 b r e1 d
a b r e a s t	@ ' b r E s t	x0 b r E1 s t
a b r i d g e	@ ' b r I _	x0 b r I0 J
a b r o a d	@ ' b r $ d	x0 b r c1 d
a b r o g a t e	' { b r 5 g 1 t	@1 b r x0 g e2 t
a b r o g a t i o n	""" { b r 5 ' g 1 S H"	@2 b r x0 g e1 S x n
a b r u p t	@ ' b r V p t	x0 b r ^1 p t
a b s e n c e	' { b s @ n s	@1 b s x0 n s
a b s e n t	{ b ' s E n t	@0 b s E1 n t
a b s e n t	{ b ' s E n t	@1 b s x0 n t
a b s e n t	' { b s @ n t	@0 b s E1 n t
a b s e n t	' { b s @ n t	@1 b s x0 n t
a b s o l u t e	' { b s @ l u t	@1 b s x0 l u2 t
a b s o l u t e l y	' { b s @ l u t l I	@1 b s x0 l u2 t l i0
a b s o l u t i s m	' { b s @ l u t I z @ m	@1 b s x0 l u2 t I2 z M0
a b s t e m i o u s	{ b ' s t i m j @ s	@0 b s t i1 m i0 x0 s
a b s t i n e n c e	' { b s t I n @ n s	@1 b s t x0 n x0 n s
a b s t r a c t	' { b s t r { k t	@0 b s t r @1 k t
a b s t r a c t	{ b ' s t r { k t	@0 b s t r @1 k t
a b s t r a c t	{ b ' s t r { k t	@1 b s t r @2 k t
a b s t r a c t i o n	{ b ' s t r { k S H	@0 b s t r @1 k S x n
a b s t r a c t s	' { b s t r { k t s	@0 b s t r @1 k t s
a b s t r a c t s	{ b ' s t r { k t s	@0 b s t r @1 k t s
a b s t r u s e	{ b ' s t r u s	x0 b s t r u1 s
a b u n d a n t	@ ' b V n d @ n t	x0 b ^1 n d x0 n t
a b u s e	@ ' b j u s	x0 b Y1 z
a b y s m a l	@ ' b I z m P	x0 b I1 z m L
a b y s s	@ ' b I s	x0 b I1 s
a c a c i a	@ ' k 1 S @	x0 k e1 S x0
a c a d e m i c	""" { k @ ' d E m I k"	@2 k x0 d E1 m I0 k
a c a d e m i c i a n	"@ "" k { d @ ' m I S H"	@2 k x0 d x0 m I1 S x n
a c c e d e	{ k ' s i d	@0 k s i1 d
a c c e l e r a n d o	"@ "" J E l @ ' r { n d 5"	a0 C E2 l x0 r a1 n d o0
a c c e l e r a n d o	"{ k "" s E l @ ' r { n d 5"	a0 C E2 l x0 r a1 n d o0
a c c e l e r a t e	@ k ' s E l @ r 1 t	I0 k s E1 l x0 r e2 t
a c c e n t	' { k s E n t	@1 k s E2 n t
a c c e n t u a t e	{ k ' s E n t j U 1 t	@0 k s E1 n C u0 e2 t
a c c e p t	@ k ' s E p t	I0 k s E1 p t
a c c e p t a n c e	@ k ' s E p t @ n s	I0 k s E1 p t x0 n s
a c c e p t a t i o n	""" { k s E p ' t 1 S H"	@2 k s E2 p t e1 S x n
a c c e s s i b l e	@ k ' s E s @ b P	I0 k s E1 s x0 b L
a c c e s s i o n	{ k ' s E S H	I0 k s E1 S x n
a c c e s s o r y	@ k ' s E s @ r I	I0 k s E1 s x0 r i0
a c c i d e n c e	' { k s I d @ n s	@1 k s x0 d x0 n s
a c c i d e n t	' { k s I d @ n t	@1 k s x0 d x0 n t
a c c i d e n t a l	""" { k s I ' d E n t P"	@2 k s x0 d E1 n t L
a c c l a i m	@ ' k l 1 m	x0 k l e1 m
a c c l a m a t i o n	""" { k l @ ' m 1 S H"	@2 k l x0 m e1 S x n
a c c l i m a t e	' { k l I m 1 t	x0 k l A1 m x0 t
a c c l i m a t i z e	@ ' k l 2 m @ t 2 z	x0 k l A1 m x0 t A2 z
a c c l i v i t y	@ ' k l I v @ t I	x0 k l I1 v x0 t i0
a c c o l a d e	' { k 5 l 1 d	@1 k x0 l e2 d
a c c o m m o d a t e	@ ' k Q m @ d 1 t	x0 k a1 m x0 d e2 t
a c c o m m o d a t i o n	"@ "" k Q m @ ' d 1 S H"	x0 k a2 m x0 d e1 S x n
a c c o m p a n i m e n t	@ ' k V m p @ n I m @ n t	x0 k x1 m p x0 n i0 m x0 n t
a c c o m p l i c e	@ ' k V m p l I s	x0 k a1 m p l x0 s
a c c o m p l i s h	@ ' k V m p l I S	x0 k a1 m p l I0 S
a c c o r d	@ ' k $ d	x0 k c1 r d
a c c o r d a n c e	@ ' k $ d @ n s	x0 k c1 r d N s
a c c o r d i o n	@ ' k $ d j @ n	x0 k c1 r d i0 x0 n
a c c o s t	@ ' k Q s t	x0 k c1 s t
a c c o u n t	@ ' k 6 n t	x0 k W1 n t
a c c o u n t a n t	@ ' k 6 n t @ n t	x0 k W1 n t N t
a c c r e d i t	@ ' k r E d I t	x0 k r E1 d x0 t
a c c r e t i o n	{ ' k r i S H	x0 k r i1 S x n
a c c r u e	@ ' k r u	x0 k r u1
a c c u m u l a t e	@ ' k j u m j U l 1 t	x0 k Y1 m Y0 l e2 t
a c c u r a c y	' { k j U r @ s I	@1 k y0 r x0 s i0
a c c u r a t e	' { k j U r @ t	@1 k y0 r x0 t
a c c u r s e d	@ ' k 3 s I d	x0 k R s x0 d
a c c u s a t i o n	""" { k j u ' z 1 S H"	@2 k Y0 z e1 S x n
a c c u s a t i v e	@ ' k j u z @ t I v	x0 k Y1 z x0 t I0 v
a c c u s t o m	@ ' k V s t @ m	x0 k x1 s t x0 m
a c e	' 1 s	e1 s
a c e r b i t y	@ ' s 3 b @ t I	x0 s R b x0 t i0
a c e t a t e	' { s I t 1 t	@1 s x0 t e2 t
a c e t i c	@ ' s i t I k	x0 s i1 t I0 k
a c e t y l e n e	@ ' s E t I l i n	x0 s E1 t L i0 n
a c h e	' 1 k	e1 k
a c h i e v e	@ ' J i v	x0 C i1 v
a c i d	' { s I d	@1 s x0 d
a c i d i c	@ ' s I d I k	x0 s I1 d I0 k
a c i d i t y	@ ' s I d @ t I	x0 s I1 d x0 t i0
a c m e	' { k m I	@1 k m i0
a c n e	' { k n I	@1 k n i0
a c o l y t e	' { k 5 l 2 t	@1 k x0 l A2 t
a c o u s t i c	@ ' k u s t I k	x0 k u1 s t I0 k
a c q u i e s c e	""" { k w I ' E s"	@2 k w0 i1 E s
a c q u i r e	@ ' k w 2 @ R	x0 k w1 A r
a c q u i s i t i o n	""" { k w I ' z I S H"	@2 k w0 I z I1 S x n
a c q u i t	@ ' k w I t	x0 k w1 I t
a c r e	' 1 k @ R	e1 k R
a c r e a g e	' 1 k @ r I _	e1 k r I0 J
a c r i d	' { k r I d	@1 k r x0 d
a c r i m o n i o u s	""" { k r I ' m 5 n j @ s"	@2 k r x0 m o1 n i0 x0 s
a c r i m o n y	' { k r I m @ n I	@1 k r x0 m o2 n i0
a c r o b a t	' { k r @ b { t	@1 k r x0 b @2 t
a c r o b a t i c	""" { k r 5 ' b { t I k"	@2 k r x0 b @1 t I0 k
a c r o b a t i c s	""" { k r 5 ' b { t I k s"	@2 k r x0 b @1 t I0 k s
a c r o s s	@ ' k r Q s	x0 k r c1 s
a c r o s t i c	@ ' k r Q s t I k	x0 k r c1 s t I0 k
a c t	' { k t	@1 k t
a c t i n i c	{ k ' t i n I k	@0 k t I1 n I0 k
a c t i o n	' { k S H	@1 k S x n
a c t i v a t e	' { k t I v 1 t	@1 k t x0 v e2 t
a c t i v e	' { k t I v	@1 k t I0 v
a c t u a l	' { k J 9 l	@1 k C Y0 x0 l
a c t u a l i t y	""" { k J U ' { l @ t I"	@2 k C Y0 @1 l x0 t i0
a c t u a l l y	' { k J 9 l I	@1 k C Y0 x0 l i0
a c t u a r y	' { k t j 9 r I	@1 k C u0 E2 r i0
a c u m e n	' { k j U m @ n	x0 k Y1 m x0 n
a c u t e	@ ' k j u t	x0 k Y1 t
a d	' { d	@1 d
a d	""" 1 ' d i"	@1 d
a d a g e	' { d I _	@1 d I0 J
a d a g i o	@ ' d # _ I 5	x0 d a1 J o
a d a m a n t	' { d @ m @ n t	@1 d x0 m x0 n t
a d a m a n t i n e	""" { d @ ' m { n t 2 n"	@2 d x0 m @1 n t i2 n
a d a p t a b i l i t y	"@ "" d { p t @ ' b I l @ t I"	x0 d @2 p t x0 b I1 l x0 t i0
a d a p t a t i o n	""" { d { p ' t 1 S H"	@2 d @2 p t e1 S x n
a d d	' { d	@1 d
a d d e n d u m	@ ' d E n d @ m	x0 d E1 n d x0 m
a d d e r	' { d @ R	@1 d R
a d d i c t	' { d I k t	x0 d I1 k t
a d d i c t	@ ' d I k t	@1 d I2 k t
a d d i c t	@ ' d I k t	x0 d I1 k t
a d d i c t i o n	@ ' d I k S H	x0 d I1 k S x n
a d d i t i o n	@ ' d I S H	x0 d I1 S x n
a d d i t i o n a l	@ ' d I S @ n P	x0 d I1 S x n L
a d d l e	' { d P	@1 d L
a d d r e s s	@ ' d r E s	x0 d r E1 s
a d d r e s s e e	""" { d r E ' s i"	@2 d r E2 s i1
a d e p t	' { d E p t	@1 d E2 p t
a d e p t	' { d E p t	x0 d E1 p t
a d e q u a t e	' { d I k w @ t	@1 d I0 k w0 x t
a d h e s i o n	@ d ' h i Z H	@0 d h i1 Z x n
a d i p o s e	' { d I p 5 s	@1 d x0 p o2 s
a d j a c e n t	@ ' _ 1 s @ n t	x0 J e1 s N t
a d j e c t i v a l	""" { _ E k ' t 2 v P"	@2 J I0 k t A1 v L
a d j e c t i v e	' { _ I k t I v	@1 J I0 k t I0 v
a d j o i n	@ ' _ 4 n	x0 J O1 n
a d j o u r n	@ ' _ 3 n	x0 J R n
a d j u d g e	@ ' _ V _	x0 J ^1 J
a d j u d i c a t e	@ ' _ u d I k 1 t	x0 J u1 d I0 k e2 t
a d j u d i c a t i o n	"@ "" _ u d I ' k 1 S H"	x0 J u2 d I0 k e1 S x n
a d j u n c t	' { _ V N k t	@1 J x2 G k t
a d j u r e	@ ' _ 9 R	x0 J u1 r
a d j u s t	@ ' _ V s t	x0 J ^1 s t
a d j u t a n t	' { _ U t @ n t	@1 J x0 t x0 n t
a d m a n	' { d m { n	@1 d m @2 n
a d m i n i s t e r	@ d ' m I n I s t @ R	x0 d m I1 n x0 s t R
a d m i n i s t r a t i v e	@ d ' m I n I s t r @ t I v	x0 d m I1 n x0 s t r e2 t I0 v
a d m i n i s t r a t o r	@ d ' m I n I s t r 1 t @ R	x0 d m I1 n x0 s t r e2 t R
a d m i r a b l e	' { d m @ r @ b P	@1 d m x0 r x0 b L
a d m i r a t i o n	""" { d m @ ' r 1 S H"	@2 d m x0 r e1 S x n
a d m i r e	@ d ' m 2 @ R	x0 d m A1 r
a d m i r e r	@ d ' m 2 @ r @ R	x0 d m A1 r R
a d m i s s i o n	@ d ' m I S H	x0 d m I1 S x n
a d m i t t a n c e	@ d ' m I t @ n s	x0 d m I1 t N s
a d m i x	{ d ' m I k s	@0 d m I1 X
a d m i x t u r e	{ d ' m I k s J @ R	@0 d m I1 X C R
a d m o n i s h	@ d ' m Q n I S	@0 d m a1 n I0 S
a d m o n i t o r y	@ d ' m Q n I t @ r I	@0 d m a1 n x0 t o2 r i0
a d o	@ ' d u	x0 d u1
a d o b e	@ ' d 5 b I	x0 d o1 b i0
a d o l e s c e n c e	""" { d 5 ' l E s H s"	@2 d L E1 s N s
a d o p t	@ ' d Q p t	x0 d a1 p t
a d o r a b l e	@ ' d $ r @ b P	x0 d o1 r x0 b L
a d r e n a l	@ ' d r i n P	x0 d r i1 n L
a d r i f t	@ ' d r I f t	x0 d r I1 f t
a d r o i t	@ ' d r 4 t	x0 d r O1 t
a d u l a t i o n	""" { d j U ' l 1 S H"	@2 J x0 l e1 S x n
a d u l t	' { d V l t	x0 d ^1 l t
a d u l t e r a n t	@ ' d V l t @ r @ n t	x0 d ^1 l t x0 r x0 n t
a d u l t e r a t e	@ ' d V l t @ r 1 t	x0 d ^1 l t x0 r e2 t
a d u l t e r y	@ ' d V l t @ r I	x0 d ^1 l t x0 r i0
a d u l t h o o d	' { d V l t h U d	x0 d ^1 l t h U2 d
a d u m b r a t i o n	""" { d V m ' b r 1 S H"	@2 d x0 m b r e1 S x n
a d v a n c e	@ d ' v # n s	x0 d v @1 n s
a d v a n t a g e	@ d ' v # n t I _	x0 d v @1 n t I0 J
a d v a n t a g e o u s	""" { d v @ n ' t 1 _ @ s"	@2 d v @2 n t e1 J x0 s
a d v e n t i t i o u s	""" { d v E n ' t I S @ s"	@2 d v x0 n t I1 S x s
a d v e r b	' { d v 3 b	@1 d v R b
a d v e r s a r y	' { d v @ s @ r I	@1 d v R s E2 r i0
a d v e r s i t y	@ d ' v 3 s @ t I	@0 d v R s x0 t i0
a d v e r t	' { d v 3 t	@0 d v R t
a d v e r t i s e	' { d v @ t 2 z	@1 d v R t A2 z
a d v e r t i s e m e n t	@ d ' v 3 t I s m @ n t	@2 d v R t A1 z m x0 n t
a d v e r t i s i n g	' { d v @ t 2 z I N	@1 d v R t A2 z I0 G
a d v e r t i s i n g	' { d v @ t 2 s I N	@1 d v R t A2 z I0 G
a d v i c e	@ d ' v 2 s	x0 d v A1 s
a d v i s a b l e	@ d ' v 2 z @ b P	x0 d v A1 z x0 b L
a d v i s o r y	@ d ' v 2 z @ r I	x0 d v A1 z x0 r i0
a d v o c a t e	' { d v @ k @ t	@1 d v x0 k x0 t
a d v o c a t e	' { d v @ k 1 t	@1 d v x0 k x0 t
a d z e	' { d z	@1 d z
a e g i s	' i _ I s	i J x0 s
a e r a t e	' 1 @ r 1 t	@1 R e2 t
a e r a t i o n	1 @ ' r 1 S H	@2 R e1 S x n
a e r o n a u t i c s	""" 8 r @ ' n $ t I k s"	E2 r x0 n c1 t I0 k s
a e r o p l a n e	' 8 r @ p l 1 n	E1 r x0 p l e2 n
a e r o s o l	' 8 r 5 s Q l	E1 r x0 s c2 l
a e r o s p a c e	' 8 r 5 s p 1 s	E1 r x0 s p e2 s
a e s t h e t e	' i s T i t	E1 s T i2 t
a f a r	@ ' f # R	x0 f a1 r
a f f a b i l i t y	""" { f @ ' b I l @ t I"	@2 f x0 b I1 l x0 t i0
a f f a b l y	' { f @ b l I	@1 f x0 b l i0
a f f e c t	@ ' f E k t	x0 f E1 k t
a f f e c t a t i o n	""" { f E k ' t 1 S H"	@2 f E2 k t e1 S x n
a f f i n i t y	@ ' f I n @ t I	x0 f I1 n x0 t i0
a f f i r m	@ ' f 3 m	x0 f R m
a f f i r m a t i o n	""" { f @ ' m 1 S H"	@2 f R m e1 S x n
a f f i r m a t i v e	@ ' f 3 m @ t I v	x0 f R m x0 t I0 v
a f f i x	' { f I k s	@1 f I2 X
a f f i x	' { f I k s	x0 f I1 X
a f f i x	@ ' f I k s	@1 f I2 X
a f f i x	@ ' f I k s	x0 f I1 X
a f f l a t u s	@ ' f l 1 t @ s	x0 f l e1 t x0 s
a f f l i c t	@ ' f l I k t	x0 f l I1 k t
a f f o r d	@ ' f $ d	x0 f o1 r d
a f f r a y	@ ' f r 1	x0 f r e1
a f f r o n t	@ ' f r V n t	x0 f r ^1 n t
a f g h a n	' { f g { n	@1 f g @2 n
a f g h a n i	{ f ' g # n I	@0 f g @1 n i0
a f i c i o n a d o	"@ "" f I s j @ ' n # d 5"	x0 f I2 s i0 x0 n a1 d o0
a f i r e	@ ' f 2 @ R	x0 f A1 r
a f l a m e	@ ' f l 1 m	x0 f l e1 m
a f l o a t	@ ' f l 5 t	x0 f l o1 t
a f o o t	@ ' f U t	x0 f U1 t
a f o r e m e n t i o n e d	"@ "" f $ ' m E n S @ n d"	x0 f o1 r m E2 n C x n d
a f o r e s a i d	@ ' f $ s E d	x0 f o1 r s E2 d
a f o u l	@ ' f 6 l	x0 f W1 l
a f r a i d	@ ' f r 1 d	x0 f r e1 d
a f r e s h	@ ' f r E S	x0 f r E1 S
a f r i c a n	' { f r I k @ n	@1 f r I0 k x0 n
a f r i k a a n s	""" { f r I ' k # n s"	@2 f r I0 k a1 n s
a f t	' # f t	@1 f t
a f t e r b i r t h	' # f t @ b 3 T	@1 f t R b R T
a f t e r m a t h	' # f t @ m { T	@1 f t R m @2 T
a f t e r n o o n	""" # f t @ ' n u n"	@2 f t R n u1 n
a f t e r n o o n	' # f t @ n u n	@2 f t R n u1 n
a f t e r t h o u g h t	' # f t @ T $ t	@1 f t R T c2 t
a f t e r w a r d	' # f t @ w @ d	@1 f t R w R d
a g a i n	@ ' g E n	x0 g E1 n
a g a i n s t	@ ' g E n s t	x0 g E1 n s t
a g a p e	@ ' g 1 p	a0 g a1 p e0
a g a p e	@ ' g 1 p	x0 g e1 p
a g a t e	' { g @ t	@1 g x0 t
a g e	' 1 _	e1 J
a g e l e s s	' 1 _ l I s	e1 J l x0 s
a g e n c y	' 1 _ @ n s I	e1 J x0 n s i0
a g e n d a	@ ' _ E n d @	x0 J E1 n d x0
a g e n t	' 1 _ @ n t	e1 J x0 n t
a g g l o m e r a t e	@ ' g l Q m @ r 1 t	x0 g l a1 m x0 r e2 t
a g g l o m e r a t e	@ ' g l Q m @ r @ t	x0 g l a1 m x0 r e2 t
a g g l u t i n a t e	@ ' g l u t I n 1 t	x0 g l u1 t N e2 t
a g g r a n d i z e	@ ' g r { n d 2 z	x0 g r @1 n d A2 z
a g g r a v a t e	' { g r @ v 1 t	@1 g r x0 v e2 t
a g g r a v a t i o n	""" { g r @ ' v 1 S H"	@2 g r x0 v e1 S x n
a g g r e g a t e	' { g r I g @ t	@1 g r I0 g x0 t
a g g r e g a t e	' { g r I g 1 t	@1 g r I0 g x0 t
a g g r e g a t i o n	""" { g r I ' g 1 S H"	@2 g r I0 g e1 S x n
a g g r e s s i o n	@ ' g r E S H	x0 g r E1 S x n
a g g r i e v e	@ ' g r i v	x0 g r i1 v
a g h a s t	@ ' g # s t	x0 g @1 s t
a g i l e	' { _ 2 l	@1 J L
a g i t a t e	' { _ I t 1 t	@1 J x0 t e2 t
a g i t a t i o n	""" { _ I ' t 1 S H"	@2 J x0 t e1 S x n
a g i t a t o r	' { _ I t 1 t @ R	@1 J x0 t e2 t R
a g l o w	@ ' g l 5	x0 g l o1
a g o	@ ' g 5	x0 g o1
a g o g	@ ' g Q g	x0 g a1 g
a g o n i z e	' { g @ n 2 z	@1 g x0 n A2 z
a g o n y	' { g @ n I	@1 g x0 n i0
a g o r a p h o b i a	""" { g @ r @ ' f 5 b j @"	@2 g x0 r x0 f o1 b i0 x0
a g r i c u l t u r a l	""" { g r I ' k V l J @ r @ l"	@2 g r I0 k ^1 l C x0 r L
a g r i c u l t u r e	' { g r I k V l J @ R	@1 g r I0 k ^2 l C R
a g u e	' 1 g j u	e1 g Y0
a h e a d	@ ' h E d	x0 h E1 d
a h o y	@ ' h 4	x0 h O1
a i d	' 1 d	e1 d
a i g r e t t e	' 1 g r E t	e1 g r E1 t
a i l	' 1 l	e1 l
a i l m e n t	' 1 l m @ n t	e1 l m x0 n t
a i m	' 1 m	e1 m
a i r	' 8 R	@1 r
a i r c r a f t	' 8 k r # f t	@1 r k r @2 f t
a i r l i f t	' 8 l I f t	@1 r l I2 f t
a i r y	' 8 r I	@1 r i0
a i s l e	' 2 l	A l
a j a r	@ ' _ # R	x0 J a1 r
a k i m b o	@ ' k I m b 5	x0 k I1 m b o0
a k i n	@ ' k I n	x0 k I1 n
a l a c r i t y	@ ' l { k r @ t I	x0 l @1 k r x0 t i0
a l a r m	@ ' l # m	x0 l a1 r m
a l b a t r o s s	' { l b @ t r Q s	@1 l b x0 t r c2 s
a l b e i t	$ l ' b i I t	@0 l b i1 x0 t
a l b i n o	{ l ' b i n 5	@0 l b A1 n o0
a l b u m	' { l b @ m	@1 l b x0 m
a l b u m e n	' { l b j U m I n	@0 l b Y1 m x0 n
a l c h e m i s t	' { l k @ m I s t	@1 l k x0 m x0 s t
a l c o h o l i c	""" { l k @ ' h Q l I k"	@2 l k x0 h c1 l I0 k
a l c o h o l i s m	' { l k @ h Q l I z @ m	@1 l k x0 h c2 l I2 z M0
a l d e r	' $ l d @ R	c1 l d R
a l d e r m a n	' $ l d @ m @ n	c1 l d R m x0 n
a l e	' 1 l	e1 l
a l e e	@ ' l i	x0 l i1
a l e r t	@ ' l 3 t	x0 l R t
a l f a l f a	{ l ' f { l f @	@0 l f @1 l f x0
a l f r e s c o	{ l ' f r E s k 5	@0 l f r E1 s k o0
a l g a	' { l g @	@1 l g x0
a l g a e	' { l _ i	@1 l J i
a l g e b r a	' { l _ I b r @	@1 l J x0 b r x0
a l g e b r a i c	""" { l _ I ' b r 1 I k"	@2 l J x0 b r e1 I0 k
a l g e r i a n	{ l ' _ 7 r 7 n	@0 l J I1 r i0 x0 n
a l i a s	' 1 l 7 s	e1 l i0 x0 s
a l i b i	' { l I b 2	@1 l x0 b A2
a l i m e n t	' { l I m @ n t	@1 l x0 m x0 n t
a l i m e n t a r y	""" { l I ' m E n t @ r I"	@2 l x0 m E1 n t x0 r i0
a l i m o n y	' { l I m @ n I	@1 l x0 m o2 n i0
a l i t	@ ' l I t	x0 l I1 t
a l i v e	@ ' l 2 v	x0 l A1 v
a l k a l i	' { l k @ l 2	@1 l k x0 l A2
a l l a y	@ ' l 1	x0 l e1
a l l e g a t i o n	""" { l I ' g 1 S H"	@2 l I0 g e1 S x n
a l l e g e	@ ' l E _	x0 l E1 J
a l l e g e d l y	@ ' l E _ I d l I	x0 l E1 J x0 d l i0
a l l e g i a n c e	@ ' l i _ @ n s	x0 l i1 J x n s
a l l e g o r i c a l	""" { l I ' g Q r I k P"	@2 l x0 g c1 r I0 k L
a l l e g o r y	' { l I g @ r I	@1 l x0 g o2 r i0
a l l e g r o	@ ' l 1 g r 5	x0 l E1 g r o0
a l l e l u i a	""" { l I ' l u j @"	@2 l x0 l u1 y0 x
a l l e r g y	' { l @ _ I	@1 l R J i0
a l l e v i a t e	@ ' l i v I 1 t	x0 l i1 v i0 e2 t
a l l e v i a t i o n	"@ "" l i v I ' 1 S H"	x0 l i2 v i0 e1 S x n
a l l e y	' { l I	@1 l i0
a l l i a n c e	@ ' l 2 @ n s	x0 l A1 x0 n s
a l l i e d	@ ' l 2 d	x0 l A1 d
a l l i e d	' { l 2 d	x0 l A1 d
a l l i g a t o r	' { l I g 1 t @ R	@1 l x0 g e2 t R
a l l i t e r a t e	@ ' l I t @ r 1 t	x0 l I1 t x0 r e2 t
a l l i t e r a t i o n	"@ "" l I t @ ' r 1 S H"	x0 l I2 t x0 r e1 S x n
a l l o c a t e	' { l 5 k 1 t	@1 l x0 k e2 t
a l l o t	@ ' l Q t	x0 l a1 t
a l l o y	' { l 4	@1 l O2
a l l o y	@ ' l 4	@1 l O2
a l l s p i c e	' $ l s p 2 s	c1 l s p A2 s
a l l u r e	@ ' l j 9 R	x0 l U1 r
a l l u v i u m	@ ' l u v j @ m	x0 l u1 v i0 x0 m
a l l y	' { l 2	@1 l A2
a l l y	' { l 2	x0 l A1
a l l y	@ ' l 2	x0 l A1
a l m a n a c	' $ l m @ n { k	c1 l m x0 n @2 k
a l m i g h t y	$ l ' m 2 t I	c0 l m A1 t i0
a l m o n d	' # m @ n d	a1 m x0 n d
a l m s	' # m z	a1 m z
a l o e	' { l 5	@1 l o0
a l o f t	@ ' l Q f t	x0 l c1 f t
a l o n e	@ ' l 5 n	x0 l o1 n
a l o n g	@ ' l Q N	x0 l c1 G
a l o n g s i d e	@ ' l Q N s 2 d	x0 l c1 G s A2 d
a l o u d	@ ' l 6 d	x0 l W1 d
a l p	' { l p	@1 l p
a l p a c a	{ l ' p { k @	@0 l p @1 k x0
a l p e n h o r n	' { l p @ n h $ n	@1 l p x0 n h c2 r n
a l p e n s t o c k	' { l p @ n s t Q k	@1 l p x0 n s t a2 k
a l p h a b e t	' { l f @ b E t	@1 l f x0 b E2 t
a l p h a b e t i c	""" { l f @ ' b E t I k"	@2 l f x0 b E1 t I0 k
a l p i n e	' { l p 2 n	@1 l p A2 n
a l r e a d y	$ l ' r E d I	c0 l r E1 d i0
a l s o	' $ l s 5	c1 l s o0
a l t a r	' $ l t @ R	c1 l t R
a l t e r	' $ l t @ R	c1 l t R
a l t e r a t i o n	""" $ l t @ ' r 1 S H"	c2 l t x0 r e1 S x n
a l t e r c a t i o n	""" $ l t @ ' k 1 S H"	c2 l t R k e1 S x n
a l t e r n a t e	' $ l t @ n 1 t	c1 l t R n x0 t
a l t e r n a t e	$ l ' t 3 n @ t	c1 l t R n x0 t
a l t e r n a t i o n	""" $ l t @ ' n 1 S H"	c2 l t R n e1 S x n
a l t i m e t e r	' { l t I m i t @ R	@0 l t I1 m x0 t R
a l t i t u d e	' { l t I t j u d	@1 l t x0 t Y2 d
a l t o	' { l t 5	@1 l t o0
a l t o g e t h e r	""" $ l t @ ' g E D @ R"	c2 l t x0 g E1 D R
a l t r u i s m	' { l t r U I z @ m	@1 l t r U0 I2 z M0
a l t r u i s t i c	""" { l t r U ' I s t I k"	@2 l t r U0 I1 s t I0 k
a l u m	' { l @ m	@1 l x0 m
